,id,name,country_code,type,quantity,offer.amount,offer.currency,offer.decimals,average_purchase_price.amount,average_purchase_price.currency,average_purchase_price.decimals
0,FR0000120073,Air Liquide,FR,EQTY,6.0,136.50000,EUR,5,128.130,EUR,3
1,US02079K3059,Alphabet A,US,EQTY,3.733515,95.65000,USD,5,111.867,USD,3
2,KYG037AX1015,Ambarella,US,EQTY,2.0,72.25000,USD,5,81.830,USD,3
3,US0378331005,Apple,US,EQTY,2.627957,148.10000,USD,5,155.521,USD,3
4,FR0000120172,Carrefour,FR,EQTY,6.0,16.26000,EUR,5,17.625,EUR,3
5,US2538681030,Digital Realty,US,EQTY,2.0,110.67000,USD,5,126.645,USD,3
6,US4370761029,Home Depot,US,EQTY,0.609722,317.13000,USD,5,303.518,USD,3
7,US56035L1044,Main Street Capital,US,EQTY,6.0,38.00000,USD,5,38.728,USD,3
8,US58463J3041,Medical Properties,US,EQTY,6.0,12.55000,USD,5,15.912,USD,3
9,US5949181045,Microsoft,US,EQTY,1.942423,242.08000,USD,5,270.071,USD,3
10,US67066G1040,NVIDIA,US,EQTY,0.763635,153.28000,USD,5,203.232,USD,3
11,US8610121027,ST Microelectronics,US,EQTY,6.0,37.77000,USD,5,33.103,USD,3
12,NL0000226223,STMicroelectronics,FR,EQTY,9.0,36.96000,EUR,5,33.785,EUR,3
13,FR0000120578,Sanofi,FR,EQTY,3.0,87.02000,EUR,5,80.683,EUR,3
14,FR0000121972,Schneider Electric,FR,EQTY,3.0,140.72000,EUR,5,127.593,EUR,3
15,US85254J1025,Stag Industrial,US,EQTY,9.0,32.80000,USD,5,33.379,USD,3
16,US86771W1053,Sunrun,US,EQTY,8.702919,30.46000,USD,5,28.522,USD,3
17,FR0000120271,TotalEnergies,FR,EQTY,2.0,55.77000,EUR,5,48.660,EUR,3
18,US92936U1097,WP Carey,US,EQTY,3.0,80.35000,USD,5,82.787,USD,3
19,NL0010408704,VanEck Sustainable World Equal Weight,NL,ETF,12.0,26.86500,EUR,5,27.757,EUR,3
