index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
0,AOS,A. O. Smith Corporation,"Jul 28, 2022, 2 AMEDT",0.81,0.82,1.61
1,AOS,A. O. Smith Corporation,"Apr 28, 2022, 2 AMEDT",0.75,0.77,3.08
2,AOS,A. O. Smith Corporation,"Jan 27, 2022, 1 AMEST",0.77,0.87,13.28
3,AOS,A. O. Smith Corporation,"Oct 28, 2021, 2 AMEDT",0.68,0.82,20.59
4,AOS,A. O. Smith Corporation,"Jul 29, 2021, 2 AMEDT",0.65,0.73,12.31
5,AOS,A. O. Smith Corporation,"Apr 29, 2021, 2 AMEDT",0.57,0.6,5.26
6,AOS,A. O. Smith Corporation,"Jan 28, 2021, 1 AMEST",0.59,0.74,26.5
7,AOS,A. O. Smith Corporation,"Oct 29, 2020, 2 AMEDT",0.52,0.66,27.66
8,AOS,A. O. Smith Corporation,"Jul 30, 2020, 2 AMEDT",0.42,0.45,7.14
9,AOS,A. O. Smith Corporation,"May 05, 2020, 2 AMEDT",0.34,0.32,-5.88
10,AOS,A. O. Smith Corporation,"Jan 28, 2020, 1 AMEST",0.6,0.56,-5.88
11,AOS,A. O. Smith Corporation,"Oct 29, 2019, 2 AMEDT",0.53,0.53,-0.19
12,AOS,A. O. Smith Corporation,"Jul 30, 2019, 2 AMEDT",0.63,0.61,-3.02
13,AOS,A. O. Smith Corporation,"Apr 30, 2019, 3 AMEDT",0.57,0.53,-7.02
14,AOS,A. O. Smith Corporation,"Jan 29, 2019, 1 AMEST",0.71,0.74,4.96
15,AOS,A. O. Smith Corporation,"Oct 30, 2018, 2 AMEDT",0.63,0.61,-3.02
16,AOS,A. O. Smith Corporation,"Jul 25, 2018, 3 AMEDT",0.62,0.66,6.45
17,AOS,A. O. Smith Corporation,"Apr 25, 2018, 3 AMEDT",0.58,0.6,3.99
18,AOS,A. O. Smith Corporation,"Jan 30, 2018, 1 AMEST",0.56,0.6,6.57
19,AOS,A. O. Smith Corporation,"Oct 25, 2017, 2 AMEDT",0.53,0.54,1.5
20,AOS,A. O. Smith Corporation,"Jul 26, 2017, 2 AMEDT",0.53,0.53,0.38
21,AOS,A. O. Smith Corporation,"Apr 27, 2017, 2 AMEDT",0.47,0.5,6.61
22,AOS,A. O. Smith Corporation,"Feb 02, 2017, 1 AMEST",0.46,0.47,2.17
23,AOS,A. O. Smith Corporation,"Oct 26, 2016, 2 AMEDT",0.45,0.47,4.44
24,AOS,A. O. Smith Corporation,"Jul 26, 2016, 2 AMEDT",0.45,0.49,8.65
25,AOS,A. O. Smith Corporation,"Apr 27, 2016, 2 AMEDT",0.38,0.42,8.64
