index,symbol,company,earnings_date,eps_estimates,eps_reported,surprise_percent
0,MMM,3M Co,2023-07-24 09:00:00,,,
1,MMM,3M Co,2023-04-24 08:00:00,,,
2,MMM,3M Co,2023-01-23 09:00:00,,,
3,MMM,3M Co,2022-10-24 08:00:00,2.68,,
4,MMM,3M Company,2022-07-26 02:00:00,2.42,2.48,+2.65
5,MMM,3M Company,2022-04-26 02:00:00,2.31,2.65,+14.72
6,MMM,3M Company,2022-01-25 01:00:00,2.01,2.31,+14.87
7,MMM,3M Company,2021-10-26 02:00:00,2.21,2.45,+11.11
8,MMM,3M Company,2021-07-27 02:00:00,2.28,2.59,+13.6
9,MMM,3M Company,2021-04-27 02:00:00,2.29,2.77,+20.8
10,MMM,3M Company,2021-01-26 01:00:00,2.15,2.38,+10.59
11,MMM,3M Company,2020-10-27 02:00:00,2.26,2.43,+7.38
12,MMM,3M Company,2020-07-28 02:00:00,1.8,1.78,-1.17
13,MMM,3M Company,2020-04-28 02:00:00,2.03,2.16,+6.3
14,MMM,3M Company,2020-01-28 01:00:00,2.1,2.15,+2.38
15,MMM,3M Company,2019-10-24 02:00:00,2.49,2.58,+3.53
16,MMM,3M Company,2019-07-25 02:00:00,2.05,2.13,+3.7
17,MMM,3M Company,2019-04-25 02:00:00,2.49,2.23,-10.41
18,MMM,3M Company,2019-01-29 01:00:00,2.28,2.31,+1.32
19,MMM,3M Company,2018-10-23 03:00:00,2.7,2.58,-4.52
20,MMM,3M Company,2018-07-24 03:00:00,2.58,2.59,+0.27
21,MMM,3M Company,2018-04-24 03:00:00,2.5,2.5,-0.12
22,MMM,3M Company,2018-01-25 02:00:00,2.01,2.1,+4.53
23,MMM,3M Company,2017-10-24 03:00:00,2.21,2.33,+5.53
24,MMM,3M Company,2017-07-25 03:00:00,2.54,2.58,+1.45
25,MMM,3M Company,2017-04-25 03:00:00,2.06,2.16,+4.65
26,MMM,3M Company,2017-01-24 02:00:00,1.87,1.88,+0.43
27,MMM,3M Company,2016-10-25 03:00:00,2.14,2.15,+0.51
28,MMM,3M Company,2016-07-26 03:00:00,2.07,2.08,+0.63
29,MMM,3M Company,2016-04-26 03:00:00,1.92,2.05,+6.55
30,MMM,3M Company,2016-01-26 02:00:00,1.63,1.66,+2.15
31,MMM,3M Company,2015-10-22 03:00:00,2.0,2.05,+2.4
32,MMM,3M Company,2015-07-23 03:00:00,2.0,2.02,+1.2
33,MMM,3M Company,2015-04-23 03:00:00,1.93,1.85,-3.9
34,MMM,3M Company,2015-01-27 02:00:00,1.8,1.81,+0.84
35,MMM,3M Company,2014-10-23 03:00:00,1.96,1.98,+0.81
36,MMM,3M Company,2014-07-24 00:00:00,1.91,1.91,+0.11
37,MMM,3M Company,2014-04-24 00:00:00,1.8,1.79,-0.29
38,MMM,3M Company,2014-01-30 00:00:00,1.62,1.62,+0.27
39,MMM,3M Company,2013-10-24 00:00:00,1.75,1.78,+1.47
40,MMM,3M Company,2013-07-25 00:00:00,1.7,1.71,+0.31
41,MMM,3M Company,2013-04-25 00:00:00,1.65,1.61,-2.54
42,MMM,3M Company,2013-01-24 00:00:00,1.41,1.41,+0.1
43,MMM,3M Company,2012-10-23 00:00:00,1.65,1.65,
44,MMM,3M Company,2012-07-26 00:00:00,1.65,1.66,+0.44
45,MMM,3M Company,2012-04-24 00:00:00,1.49,1.63,+9.72
46,MMM,3M Company,2012-01-26 00:00:00,1.31,1.35,+3.4
47,MMM,3M Company,2011-10-25 00:00:00,1.61,1.52,-5.37
48,MMM,3M Company,2011-07-26 00:00:00,1.6,1.6,+0.27
49,MMM,3M Company,2011-04-26 00:00:00,1.44,1.49,+3.81
50,MMM,3M Company,2011-01-25 00:00:00,1.27,1.28,+0.95
51,MMM,3M Company,2010-10-28 00:00:00,1.51,1.53,+1.09
52,MMM,3M Company,2010-07-22 00:00:00,1.48,1.54,+4.33
53,MMM,3M Company,2010-04-27 00:00:00,1.21,1.4,+15.7
54,MMM,3M Company,2010-01-28 00:00:00,1.21,1.3,+7.31
55,MMM,3M Company,2009-10-22 00:00:00,1.17,1.37,+16.94
56,MMM,3M Company,2009-07-23 00:00:00,0.94,1.2,+27.21
57,MMM,3M Company,2009-04-24 00:00:00,0.86,0.81,-5.36
58,MMM,3M Company,2009-01-29 00:00:00,0.93,0.97,+3.85
59,MMM,3M Company,2008-10-21 00:00:00,1.38,1.42,+3.07
60,MMM,3M Company,2008-07-24 00:00:00,1.35,1.39,+2.9
61,MMM,3M Company,2008-04-24 00:00:00,1.35,1.38,+2.22
62,MMM,3M Company,2008-01-29 00:00:00,1.17,1.19,+1.64
63,MMM,3M Company,2007-10-19 00:00:00,1.28,1.29,+0.52
64,MMM,3M Company,2007-07-26 00:00:00,1.18,1.23,+4.1
65,MMM,3M Company,2007-04-26 00:00:00,1.12,1.28,+14.65
66,MMM,3M Company,2007-01-30 00:00:00,1.14,1.1,-3.87
67,MMM,3M Company,2006-10-20 00:00:00,1.12,1.17,+4.2
68,MMM,3M Company,2006-07-25 00:00:00,1.07,1.05,-2.02
69,MMM,3M Company,2006-04-21 00:00:00,1.14,1.17,+2.29
70,MMM,3M Company,2006-01-24 00:00:00,1.03,1.04,+0.62
71,MMM,3M Company,2005-10-18 00:00:00,1.08,1.1,+2.03
72,MMM,3M Company,2005-07-18 00:00:00,1.09,1.09,+0.13
73,MMM,3M Company,2005-04-18 00:00:00,1.01,1.03,+1.91
74,MMM,3M Company,2005-01-18 00:00:00,0.91,0.91,+0.47
75,MMM,3M Company,2004-10-18 00:00:00,0.98,0.97,-0.59
76,MMM,3M Company,2004-07-19 00:00:00,0.96,0.97,+0.74
77,MMM,3M Company,2004-04-19 00:00:00,0.87,0.9,+3.08
78,MMM,3M Company,2004-01-20 00:00:00,0.76,0.77,+1.49
79,MMM,3M Company,2003-10-20 00:00:00,0.79,0.83,+4.53
80,MMM,3M Company,2003-07-21 00:00:00,0.75,0.78,+3.57
