iShares Global Clean Energy ETF
Fund Holdings as of,"May 26, 2022"
Inception Date,"Jun 24, 2008"
Shares Outstanding,"252,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ENPH","ENPHASE ENERGY INC","Equity","Information Technology","Equity","388,168,029.90","7.87","388,168,029.90","2,171,205.00","178.78","United States","NASDAQ","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Equity","Information Technology","Equity","343,834,425.44","6.97","343,834,425.44","1,290,476.00","266.44","United States","NASDAQ","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Equity","Utilities","Equity","337,139,847.69","6.83","337,139,847.69","3,375,787.00","99.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VWS","VESTAS WIND SYSTEMS","Equity","Industrials","Equity","281,999,034.75","5.72","281,999,034.75","11,649,114.00","24.21","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.94","DKK","-"
"PLUG","PLUG POWER INC","Equity","Industrials","Equity","217,439,424.20","4.41","217,439,424.20","12,745,570.00","17.06","United States","NASDAQ","USD","1.00","USD","-"
"ORSTED","ORSTED","Equity","Utilities","Equity","199,221,876.04","4.04","199,221,876.04","1,757,182.00","113.38","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.94","DKK","-"
"968","XINYI SOLAR HOLDINGS LTD","Equity","Information Technology","Equity","190,439,318.95","3.86","190,439,318.95","110,732,000.00","1.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"FSLR","FIRST SOLAR INC","Equity","Information Technology","Equity","165,413,635.60","3.35","165,413,635.60","2,429,695.00","68.08","United States","NASDAQ","USD","1.00","USD","-"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Equity","Utilities","Equity","149,283,414.58","3.03","149,283,414.58","29,170,555.00","5.12","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.93","EUR","-"
"RUN","SUNRUN INC","Equity","Industrials","Equity","121,512,877.61","2.46","121,512,877.61","5,086,349.00","23.89","United States","NASDAQ","USD","1.00","USD","-"
"SGRE","SIEMENS GAMESA RENEWABLE ENERGY SA","Equity","Industrials","Equity","106,192,528.62","2.15","106,192,528.62","5,523,038.00","19.23","Spain","Bolsa De Madrid","USD","0.93","EUR","-"
"9502","CHUBU ELECTRIC POWER INC","Equity","Utilities","Equity","96,353,008.44","1.95","96,353,008.44","9,322,300.00","10.34","Japan","Tokyo Stock Exchange","USD","127.33","JPY","-"
"600900","CHINA YANGTZE POWER LTD A","Equity","Utilities","Equity","78,581,890.73","1.59","78,581,890.73","22,351,100.00","3.52","China","Shanghai Stock Exchange","USD","6.74","CNY","-"
"CIG","COMPANHIA ENERGETICA MINAS GERAIS","Equity","Utilities","Equity","76,865,680.27","1.56","76,865,680.27","30,623,777.00","2.51","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DQ","DAQO NEW ENERGY ADR REPRESENTING","Equity","Information Technology","Equity","71,122,797.91","1.44","71,122,797.91","1,463,131.00","48.61","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Equity","Utilities","Equity","67,511,928.64","1.37","67,511,928.64","825,632.00","81.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGI","RENEWABLE ENERGY INC","Equity","Energy","Equity","66,633,520.79","1.35","66,633,520.79","1,085,767.00","61.37","United States","NASDAQ","USD","1.00","USD","-"
"EDPR","EDP RENOVAVEIS SA","Equity","Utilities","Equity","63,268,961.89","1.28","63,268,961.89","2,526,030.00","25.05","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.93","EUR","-"
"009830","HANWHA SOLUTIONS CORP","Equity","Materials","Equity","62,853,530.62","1.27","62,853,530.62","2,255,961.00","27.86","Korea (South)","Korea Exchange (Stock Market)","USD","1,267.00","KRW","-"
"NPI","NORTHLAND POWER INC","Equity","Utilities","Equity","61,746,721.39","1.25","61,746,721.39","1,999,853.00","30.88","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"AGR","AVANGRID INC","Equity","Utilities","Equity","61,510,442.79","1.25","61,510,442.79","1,284,411.00","47.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBR","CENTRAIS ELETRICAS BRASILEIRAS ELE","Equity","Utilities","Equity","61,382,841.26","1.24","61,382,841.26","6,650,362.00","9.23","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A CORP","Equity","Industrials","Equity","60,147,790.97","1.22","60,147,790.97","3,629,921.00","16.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JKS","JINKOSOLAR HOLDING ADR REP LTD","Equity","Information Technology","Equity","59,957,273.60","1.22","59,957,273.60","995,968.00","60.20","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EA.R","ENERGY ABSOLUTE NON-VOTING DR PCL","Equity","Utilities","Equity","57,807,240.55","1.17","57,807,240.55","22,454,500.00","2.57","Thailand","Stock Exchange Of Thailand","USD","34.18","THB","-"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Equity","Utilities","Equity","56,180,610.18","1.14","56,180,610.18","2,014,058.00","27.89","India","National Stock Exchange Of India","USD","77.58","INR","-"
"CWEN","CLEARWAY ENERGY INC CLASS C","Equity","Utilities","Equity","52,957,104.48","1.07","52,957,104.48","1,507,032.00","35.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VER","VERBUND AG","Equity","Utilities","Equity","48,009,311.87","0.97","48,009,311.87","484,273.00","99.14","Austria","Wiener Boerse Ag","USD","0.93","EUR","-"
